Customer ID,Campaign ID,Ad group ID,Ad group state,Cost,Avg. Cost,Impressions,Clicks,Conversions,Avg. CPC,Cost / conv.,Criteria Display Name
3637290511,1747836661,68524904295,enabled,2800000,2800000,1,1,0.00,2800000,0,weather.com/zh-TW/weather/today/l/c9c8dfdb32b1ba6b32810744dd9e20e271d7f957b20dbfbdd19fc808431191e3
3637290511,1747836661,68524904295,enabled,3910000,3910000,1,1,0.00,3910000,0,weather.com/zh-TW/weather/today/l/eae537cfa18a960f9bf097744dd66e47bf8bee659926e779d871150ca8ddb1af
3637290511,1747836661,68524904295,enabled,3890000,3890000,1,1,0.00,3890000,0,weather.com/zh-TW/weather/today/l/370f1185a123c92a4f3f07f3e1173da324c09bd766bf07bbd3cbafbd043fbe28
3637290511,1747836661,68524904295,enabled,3686549,3686549,1,1,0.00,3686549,0,today.line.me/tw/article/%E9%81%BF%E5%85%8D%E4%B8%AD%E5%B9%B4%E9%AA%A8%E9%AC%86%EF%BC%8C%E8%AB%8B%E5%BE%9E+20+%E6%AD%B2%E9%96%8B%E5%A7%8B%EF%BC%8C%E8%AE%93%E8%87%AA%E5%B7%B1%E8%B5%B0%E8%B7%AF%E4%B8%89%E5%8D%81%E5%88%86%E9%90%98-WemmQR
3637290511,1747836661,68524904295,enabled,2926927,2926927,246,1,0.00,2926927,0,22e89f1abbbeed96.anonymous.google
3637290511,1747836661,68524904295,enabled,7921126,3960563,3335,2,0.00,3960563,0,6ef3fa9081cb8ff9.anonymous.google
3637290511,1747836661,68524904295,enabled,3989376,3989376,1,1,0.00,3989376,0,f3a89a567e18b002.anonymous.google
3637290511,1747836661,68524904295,enabled,0,0,236,0,0.00,0,0,89b9b71d461b1d94.anonymous.google
3637290511,1747836661,68524904295,enabled,0,0,3,0,0.00,0,0,179e9e8c10f6e160.anonymous.google
3637290511,1747836661,68524904295,enabled,2338183,2338183,1,1,0.00,2338183,0,tw.ixdzs.com/read/64/64412/p1441.html
3637290511,1747836661,68524904295,enabled,1493675,1493675,1,1,0.00,1493675,0,"Mobile App: 八零电子书 - 海量全本小说离线阅读 (iTunes App Store), by chunying zhang"
3637290511,1747836661,68524904295,enabled,21617849,3602975,16162,6,0.00,3602975,0,www.yahoo.com
3637290511,1747836661,68524904295,enabled,3620099,3620099,1,1,0.00,3620099,0,fund.cnyes.com/detail/%E8%B2%9D%E8%90%8A%E5%BE%B7%E4%B8%AD%E5%9C%8B%E5%9F%BA%E9%87%91-A2/B09%2C208
3637290511,1747836661,68524904295,enabled,3954510,3954510,3,1,0.00,3954510,0,udn.com/news/cate/2/12659
3637290511,1747836661,68524904295,enabled,3800195,3800195,3,1,0.00,3800195,0,cindypark.cc/blog/post/31813395-%E3%80%90%E5%8F%B0%E4%B8%AD%E6%99%AF%E9%BB%9E%E3%80%91%E8%90%BD%E7%BE%BD%E6%9D%BE%E5%B0%8F%E7%A7%98%E5%A2%83-%E5%8F%B0%E4%B8%AD%E4%B8%AD%E7%A7%91%E4%B9%9F%E7%9C%8B%E5%BE%97
3637290511,1747836661,68524904295,enabled,2921585,2921585,1,1,0.00,2921585,0,www.uwinks.com/tw/article/110/%E5%8E%BB%E4%BA%86%E8%B6%9F%E4%BF%84%E7%BE%85%E6%96%AF%EF%BC%8C%E7%9C%8B%E4%BA%86%E4%B8%80%E7%9C%BC%E7%89%A9%E5%83%B9%E6%88%91%E5%B0%B1%E5%9B%9E%E4%BE%86%E4%BA%86
3637290511,1747836661,68524904295,enabled,2331681,2331681,1,1,0.00,2331681,0,"Mobile App: 消消乐-2016免费下载单机连连看游戏大全,宠物水果连连看,女生益智儿童小游戏 (iTunes App Store), by huaxiu wang"
