Customer ID,Campaign ID,Ad group ID,Placement,Criterion ID,Ad group state,Max. CPM,Max. CPC,Cost,Avg. Cost,Impressions,Clicks,Conversions,Avg. CPC,Cost / conv.
3637290511,1747836658,68524903895,chyfun.com, --,enabled, --,4500000,0,0,6,0,0.00,0,0
3637290511,1747836658,68524903895,cncnz.net, --,enabled, --,4500000,0,0,10,0,0.00,0,0
3637290511,1747836658,68524903895,mobileapp::2-com.sky.funnyfruitsplash, --,enabled, --,4500000,0,0,5,0,0.00,0,0
3637290511,1747836658,68524903895,taiwanus.net, --,enabled, --,4500000,3469535,3469535,1,1,0.00,3469535,0
3637290511,1747836658,68524903895,line.me, --,enabled, --,4500000,1996261351,3294161,113783,606,56.00,3294161,35647524
3637290511,1747836658,68524903895,mobileapp::2-nexti.android.bustaiwan, --,enabled, --,4500000,0,0,24,0,0.00,0,0
3637290511,1747836658,68524903895,zizaidu.com, --,enabled, --,4500000,0,0,155,0,0.00,0,0
3637290511,1747836658,68524903895,worldjournal.com, --,enabled, --,4500000,0,0,88,0,0.00,0,0
3637290511,1747836658,68524903895,knowledger.info, --,enabled, --,4500000,0,0,140,0,0.00,0,0
3637290511,1747836658,68524903895,uwants.in, --,enabled, --,4500000,0,0,6,0,0.00,0,0
3637290511,1747836658,68524903895,epochtimes.com, --,enabled, --,4500000,5593882,2796941,153,2,0.00,2796941,0
3637290511,1747836658,68524903895,svu.com.tw, --,enabled, --,4500000,0,0,86,0,0.00,0,0
3637290511,1747836658,68524903895,ksk.tw, --,enabled, --,4500000,0,0,9,0,0.00,0,0
3637290511,1747836658,68524903895,sharelife.tw, --,enabled, --,4500000,3300129,3300129,35,1,0.00,3300129,0
3637290511,1747836658,68524903895,ddshu.net, --,enabled, --,4500000,0,0,5,0,0.00,0,0
3637290511,1747836658,68524903895,tainanoutlook.com, --,enabled, --,4500000,0,0,18,0,0.00,0,0
3637290511,1747836658,68524903895,fengyuncai.com, --,enabled, --,4500000,0,0,117,0,0.00,0,0
3637290511,1747836658,68524903895,mobileapp::2-com.gemsblast.puzzlelegend, --,enabled, --,4500000,3758148,3758148,19,1,0.00,3758148,0
3637290511,1747836658,68524903895,matcha-jp.com, --,enabled, --,4500000,0,0,47,0,0.00,0,0
3637290511,1747836658,68524903895,walkerland.com.tw, --,enabled, --,4500000,7394487,3697244,93,2,0.00,3697244,0
