Customer ID,Campaign ID,Ad group ID,Keyword,Keyword ID,Ad group state,Max. CPM,Max. CPC,Bid Strategy Type,Cost,Avg. Cost,Impressions,Clicks,Conversions,Avg. CPC,Cost / conv.
3637290511,1747836664,68524904535,連假出國,299991287183,enabled, --,5000000,cpc,0,0,6,0,0.00,0,0
3637290511,1747836664,68524904535,品質,48745167,enabled, --,5000000,cpc,182860055,3657201,21935,50,0.00,3657201,0
3637290511,1747836664,68524904535,旅遊,304447645,enabled, --,5000000,cpc,614379757,3746218,85322,164,1.00,3746218,614379757
3637290511,1747836664,68524904535,寒假,1139876521,enabled, --,5000000,cpc,4283074,4283074,931,1,0.00,4283074,0
3637290511,1747836664,68524904535,觀光景點,321499188954,enabled, --,5000000,cpc,3751112,3751112,144,1,0.00,3751112,0
3637290511,1747836664,68524904535,新年假期,579864508512,enabled, --,5000000,cpc,0,0,1,0,0.00,0,0
3637290511,1747836664,68524904535,旅行社,304448605,enabled, --,5000000,cpc,207631168,3707699,14727,56,3.00,3707699,69210389
3637290511,1747836664,68524904535,特惠,11173591365,enabled, --,5000000,cpc,0,0,8,0,0.00,0,0
3637290511,1747836664,68524904535,歐洲旅遊,618201985,enabled, --,5000000,cpc,218518182,4046633,22767,54,1.00,4046633,218518182
3637290511,1747836664,68524904535,蜜月旅行,297974777985,enabled, --,5000000,cpc,4346223,4346223,980,1,0.00,4346223,0
3637290511,1747836664,68524904535,親子景點,321698736954,enabled, --,5000000,cpc,128376933,3291716,17533,39,2.00,3291716,64188467
3637290511,1747836664,68524904535,跨年,2055642706,enabled, --,5000000,cpc,0,0,105,0,0.00,0,0
3637290511,1747836664,68524904535,家族旅遊,325838968964,enabled, --,5000000,cpc,0,0,93,0,0.00,0,0
3637290511,1747836664,68524904535,早鳥,298412929322,enabled, --,5000000,cpc,7456260,3728130,388,2,0.00,3728130,0
3637290511,1747836664,68524904535,農曆過年,298125543499,enabled, --,5000000,cpc,0,0,2,0,0.00,0,0
3637290511,1747836664,68524904535,飯店,3612153335,enabled, --,5000000,cpc,147761671,3518135,13649,42,0.00,3518135,0
3637290511,1747836664,68524904535,過年出國,321698738594,enabled, --,5000000,cpc,0,0,19,0,0.00,0,0
3637290511,1747836664,68524904535,推薦行程,299752970126,enabled, --,5000000,cpc,4353557,4353557,1088,1,0.00,4353557,0
3637290511,1747836664,68524904535,休閒,346034387,enabled, --,5000000,cpc,4993117,4993117,1279,1,0.00,4993117,0
3637290511,1747836664,68524904535,飛機票,321698739114,enabled, --,5000000,cpc,0,0,113,0,0.00,0,0
3637290511,1747836664,68524904535,出國,4389184407,enabled, --,5000000,cpc,28582170,4083167,4851,7,0.00,4083167,0
3637290511,1747836664,68524904535,新年,554832716,enabled, --,5000000,cpc,7825690,3912845,1338,2,0.00,3912845,0
3637290511,1747836664,68524904535,家庭旅遊,325838968924,enabled, --,5000000,cpc,0,0,8,0,0.00,0,0
3637290511,1747836664,68524904535,住宿,267761191,enabled, --,5000000,cpc,311832627,3625961,43312,86,2.00,3625961,155916314
3637290511,1747836664,68524904535,親子旅遊,297439676811,enabled, --,5000000,cpc,38113257,4234806,7129,9,0.00,4234806,0
3637290511,1747836664,68524904535,折扣,798936711,enabled, --,5000000,cpc,55699380,3713292,7602,15,0.00,3713292,0
3637290511,1747836664,68524904535,連假,298552720038,enabled, --,5000000,cpc,91940263,3677611,12365,25,1.00,3677611,91940263
3637290511,1747836664,68524904535,聖誕市集,303142288700,enabled, --,5000000,cpc,4420292,4420292,10,1,0.00,4420292,0
3637290511,1747836664,68524904535,KLOOK,299156539178,enabled, --,5000000,cpc,3572716,3572716,510,1,0.00,3572716,0
3637290511,1747836664,68524904535,出遊,296193874936,enabled, --,5000000,cpc,13997458,3499365,962,4,0.00,3499365,0
3637290511,1747836664,68524904535,預購,297740690390,enabled, --,5000000,cpc,0,0,75,0,0.00,0,0
3637290511,1747836664,68524904535,賞楓,300045823575,enabled, --,5000000,cpc,13790509,4596836,1819,3,0.00,4596836,0
3637290511,1747836664,68524904535,航空,57878221,enabled, --,5000000,cpc,236972058,4016476,23162,59,1.00,4016476,236972058
3637290511,1747836664,68524904535,促銷,5463886893,enabled, --,5000000,cpc,0,0,57,0,0.00,0,0
3637290511,1747836664,68524904535,聖誕節,298443024445,enabled, --,5000000,cpc,0,0,24,0,0.00,0,0
3637290511,1747836664,68524904535,KKDAY,299156539138,enabled, --,5000000,cpc,0,0,130,0,0.00,0,0
3637290511,1747836664,68524904535,度假,705751149,enabled, --,5000000,cpc,34843811,3871535,4787,9,0.00,3871535,0
3637290511,1747836664,68524904535,觀光,6862671545,enabled, --,5000000,cpc,213312829,3878415,23104,55,2.00,3878415,106656415
3637290511,1747836664,68524904535,親子住宿,303338085995,enabled, --,5000000,cpc,26236558,3748080,6224,7,0.00,3748080,0
3637290511,1747836664,68524904535,優惠,5463886953,enabled, --,5000000,cpc,156323971,3721999,14706,42,2.00,3721999,78161986
3637290511,1747836664,68524904535,跟團,297272110481,enabled, --,5000000,cpc,16909934,4227484,719,4,0.00,4227484,0
3637290511,1747836664,68524904535,美食,544660567,enabled, --,5000000,cpc,593545409,3686617,117597,161,2.00,3686617,296772705
3637290511,1747836664,68524904535,假期,5750827000,enabled, --,5000000,cpc,29548593,3693574,6724,8,0.00,3693574,0
3637290511,1747836664,68524904535,推薦景點,323456259354,enabled, --,5000000,cpc,64291853,3781874,17813,17,0.00,3781874,0
