Customer ID,Campaign ID,Ad group ID,Audience,Criterion ID,Ad group state,Max. CPM,Max. CPC,Bid Strategy Type,Cost,Avg. Cost,Impressions,Clicks,Conversions,Avg. CPC,Cost / conv.,CTR
5922380045,1896291336,69785365626,uservertical::92001,51239919042,enabled, --,7000000,cpc,50249566,8374928,3318,6,0.00,8374928,0,0.18%
5922380045,1896291336,69785365626,uservertical::92601,51668104495,enabled, --,7000000,cpc,0,0,254,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92915,118359956934,enabled, --,7000000,cpc,745134592,7029572,64238,106,0.00,7029572,0,0.17%
5922380045,1896291336,69785365626,uservertical::91906,55963842877,enabled, --,7000000,cpc,0,0,5,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92907,109872530168,enabled, --,7000000,cpc,0,0,3,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92802,46798824516,enabled, --,7000000,cpc,214712162,5236882,30292,41,0.00,5236882,0,0.14%
5922380045,1896291336,69785365626,uservertical::90800,48619155967,enabled, --,7000000,cpc,675763506,6375127,76267,106,0.00,6375127,0,0.14%
5922380045,1896291336,69785365626,uservertical::92005,51668103175,enabled, --,7000000,cpc,95870504,7989209,6152,12,0.00,7989209,0,0.20%
5922380045,1896291336,69785365626,uservertical::90210,50555366527,enabled, --,7000000,cpc,11899170,11899170,1762,1,0.00,11899170,0,0.06%
5922380045,1896291336,69785365626,uservertical::92300,51668103415,enabled, --,7000000,cpc,33971169,6794234,9742,5,0.00,6794234,0,0.05%
5922380045,1896291336,69785365626,uservertical::92800,51668104735,enabled, --,7000000,cpc,103919368,6494961,14145,16,0.00,6494961,0,0.11%
5922380045,1896291336,69785365626,uservertical::92900,46798824636,enabled, --,7000000,cpc,9351459,9351459,76,1,0.00,9351459,0,1.32%
5922380045,1896291336,69785365626,uservertical::91907,56976470018,enabled, --,7000000,cpc,16411880,8205940,1527,2,0.00,8205940,0,0.13%
5922380045,1896291336,69785365626,uservertical::91803,56923565577,enabled, --,7000000,cpc,158506950,6604456,14581,24,0.00,6604456,0,0.16%
5922380045,1896291336,69785365626,uservertical::92502,56976470138,enabled, --,7000000,cpc,0,0,57,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::91801,47984196266,enabled, --,7000000,cpc,82331156,6333166,11295,13,0.00,6333166,0,0.12%
5922380045,1896291336,69785365626,uservertical::92006,51668103295,enabled, --,7000000,cpc,650290108,6845159,59322,95,0.00,6845159,0,0.16%
5922380045,1896291336,69785365626,uservertical::92806,47984196626,enabled, --,7000000,cpc,52280559,7468651,4384,7,0.00,7468651,0,0.16%
5922380045,1896291336,69785365626,uservertical::91904,46798824396,enabled, --,7000000,cpc,0,0,778,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::93007,296819304605,enabled, --,7000000,cpc,0,0,7,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::91909,51668102815,enabled, --,7000000,cpc,178177414,5568044,19354,32,0.00,5568044,0,0.17%
5922380045,1896291336,69785365626,uservertical::90200,51668100055,enabled, --,7000000,cpc,0,0,95,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::90217,50555366767,enabled, --,7000000,cpc,16669061,5556354,2507,3,0.00,5556354,0,0.12%
5922380045,1896291336,69785365626,uservertical::90205,50555366287,enabled, --,7000000,cpc,0,0,162,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92952,345746254465,enabled, --,7000000,cpc,59752450,5432041,2710,11,0.00,5432041,0,0.41%
5922380045,1896291336,69785365626,uservertical::91903,46798824276,enabled, --,7000000,cpc,0,0,178,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92923,263716066682,enabled, --,7000000,cpc,326024260,5433738,67666,60,0.00,5433738,0,0.09%
5922380045,1896291336,69785365626,uservertical::91902,56976469898,enabled, --,7000000,cpc,0,0,98,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::91912,47984196506,enabled, --,7000000,cpc,0,0,112,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92400,51668103535,enabled, --,7000000,cpc,0,0,148,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92906,95731359900,enabled, --,7000000,cpc,0,0,136,0,0.00,0,0,0.00%
5922380045,1896291336,69785365626,uservertical::92805,56923565937,enabled, --,7000000,cpc,0,0,105,0,0.00,0,0,0.00%
