Customer ID,Campaign ID,Ad group ID,Keyword / Placement,Keyword ID,Ad group state,Max. CPM,Max. CPC,Cost,Avg. Cost,Impressions,Clicks,Conversions,Avg. CPC,Cost / conv.,CTR,Criteria Type
5922380045,1896291336,71049097416,65 or more,503006,paused, --,9800000,270397281,5007357,14350,54,0.00,5007357,0,0.38%,Age
5922380045,1896291336,73482559111,55-64,503005,paused, --,8400000,0,0,89,0,0.00,0,0,0.00%,Age
5922380045,1896291336,73482559111,45-54,503004,paused, --,8400000,0,0,117,0,0.00,0,0,0.00%,Age
5922380045,1896291336,69785365626,uservertical::90600,51668100415,enabled, --,7000000,37213191,6202199,1096,6,0.00,6202199,0,0.55%,User Interest
5922380045,1896291336,69785365626,uservertical::90208,56653277512,enabled, --,7000000,0,0,222,0,0.00,0,0,0.00%,User Interest
5922380045,1896291336,69785365626,uservertical::92502,56976470138,enabled, --,7000000,0,0,104,0,0.00,0,0,0.00%,User Interest
5922380045,1896291336,69785365626,uservertical::92904,95731359420,enabled, --,7000000,469413467,5941943,81909,79,0.00,5941943,0,0.10%,User Interest
5922380045,1896291336,70371538546,uservertical::90204,50555366167,paused, --,9800000,36636481,3053040,9610,12,0.00,3053040,0,0.12%,User Interest
5922380045,1896291336,69785365626,uservertical::90800,48619155967,enabled, --,7000000,861147718,6151055,95337,140,0.00,6151055,0,0.15%,User Interest
5922380045,1896291336,69785365626,uservertical::92507,51668104255,enabled, --,7000000,23442481,5860620,2597,4,0.00,5860620,0,0.15%,User Interest
5922380045,1896291336,69785365626,uservertical::92905,95731359660,enabled, --,7000000,0,0,95,0,0.00,0,0,0.00%,User Interest
5922380045,1896291336,69785365626,uservertical::93017,334585072040,enabled, --,7000000,0,0,11,0,0.00,0,0,0.00%,User Interest
5922380045,1896291336,69785365626,uservertical::91801,47984196266,enabled, --,7000000,95669645,6377976,12887,15,0.00,6377976,0,0.12%,User Interest
5922380045,1896291336,69785365626,uservertical::92801,51239919162,enabled, --,7000000,0,0,91,0,0.00,0,0,0.00%,User Interest
5922380045,1896291336,69785365626,uservertical::91600,51668101975,enabled, --,7000000,10437242,5218621,2710,2,0.00,5218621,0,0.07%,User Interest
