Customer ID,Campaign ID,Ad group ID,Ad group state,Cost,Avg. Cost,Impressions,Clicks,Conversions,All conv.,Avg. CPC,Cost / conv.,Cost / all conv.,Criteria Display Name,CTR,View-through conv.
2042877296,6460877943,77043580923,enabled,7916634,1319439,27,6,0.00,0.00,1319439,0,0,"Mobile App: Block Puzzle Legend (Google Play), by Jewel Games Legend",22.22%,0
2042877296,6460877943,77043580923,enabled,73357857,2157584,181,34,0.00,0.00,2157584,0,0,"Mobile App: PopStar Block Puzzle kill time (Google Play), by Big Ray Studio",18.78%,0
2042877296,6460877943,77043580923,enabled,3612349,3612349,4,1,0.00,0.00,3612349,0,0,big5.quanben5.com/n/doupocangqiong/1690.html,25.00%,0
2042877296,6460877943,77043580923,enabled,28384555,2838456,89,10,0.00,0.00,2838456,0,0,"Mobile App: Dropdom - Jewel Blast (Google Play), by hua weiwei",11.24%,0
2042877296,6460877943,77043580923,enabled,3407337,3407337,2,1,0.00,0.00,3407337,0,0,gotv.ctitv.com.tw/2019/08/1115726.htm,50.00%,0
2042877296,6460877943,77043580923,enabled,2284521,2284521,12,1,0.00,0.00,2284521,0,0,"Mobile App: 國語經典老歌 懷舊國語老歌 for Youtube / 點歌王 (Google Play), by hoahoa.qoo",8.33%,0
2042877296,6460877943,77043580923,enabled,30531397,2544283,213,12,0.00,0.00,2544283,0,0,"Mobile App: 成語填填字: 成語接龍遊戲 (Google Play), by Kerun Games",5.63%,0
2042877296,6460877943,77043580923,enabled,12303227,4101076,9,3,0.00,0.00,4101076,0,0,"Mobile App: 輕鬆讀小說 (Google Play), by WeakApp",33.33%,0
2042877296,6460877943,77043580923,enabled,6071532,1214306,12,5,0.00,0.00,1214306,0,0,"Mobile App: Block Puzzle (Google Play), by Puzzle Games  Free",41.67%,0
2042877296,6460877943,77043580923,enabled,150465788,2314858,815,65,2.00,2.00,2314858,75232894,75232894,"Mobile App: Block Puzzle (Google Play), by Fast Fun",7.98%,0
2042877296,6460877943,77043580923,enabled,19844186,3968837,5324,5,1.00,1.00,3968837,19844186,19844186,6ef3fa9081cb8ff9.anonymous.google,0.09%,0
2042877296,6460877943,77043580923,enabled,3165819,3165819,2,1,2.00,2.00,3165819,1582910,1582910,nba.udn.com/nba/story/6780/4008914,50.00%,0
2042877296,6460877943,77043580923,enabled,7845269,3922635,51,2,0.00,0.00,3922635,0,0,7ee27a3f10a83731.anonymous.google,3.92%,0
2042877296,6460877943,77043580923,enabled,7677269,2559090,38,3,0.00,0.00,2559090,0,0,www.playsport.cc/livescore.php,7.89%,0
2042877296,6460877943,77043580923,enabled,138581421,2771628,915,50,1.00,1.00,2771628,138581421,138581421,"Mobile App: Block Puzzle Jewel (Google Play), by hua weiwei",5.46%,0
